1	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#0.512#0.758
2	э	э	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#0.758#1.004
3	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#1.004#1.25
4	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@dap1994m-words#@dap1994m#1.25#1.496
5	тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#1.496#1.742
6	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#1.742#1.988
7	позвал	звать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#1.988#2.234
8	в	в	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#2.234#2.48
9	этот	этот	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#2.48#2.726
10	подкаст	подкаст	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#2.726#2.972
11	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#2.972#3.218
12	мн...	мн	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#3.218#3.464
13	ээ	ээ	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#3.464#3.71
14	потому	потому	SCONJ	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#3.71#3.956
15	что	что	SCONJ	_	_	_	_	_	@dap1994m-words#@dap1994m#3.956#4.205
16	ну	ну	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#4.923#5.252
17	во-первых	во-первых	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#5.252#5.581
18	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#5.581#5.91
19	моя	мой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#5.91#6.239
20	подруга	подруга	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#6.239#6.568
21	во-вторых	во-вторых	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#6.568#6.897
22	ээ	ээ	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#6.897#7.23
23	э	э	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#7.82#8.142
24	все	весь	PRON	_	Case=Nom|Number=Sing|Person=3	_	_	_	@dap1994m-words#@dap1994m#8.142#8.464
25	остальные	остальной	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@dap1994m-words#@dap1994m#8.464#8.786
26	отказались	отказаться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@dap1994m-words#@dap1994m#8.786#9.108
27	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#9.108#9.43
28	э	э	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#9.43#9.752
29	#смеется#	#смеется#	X	_	_	_	_	_	@dap1994m-words#@dap1994m#9.752#10.076
30	нет	нет	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#10.41#10.681
31	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#10.681#10.952
32	на	на	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#10.952#11.223
33	самом	самый	DET	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#11.223#11.494
34	деле	дело	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#11.494#11.765
35	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#11.765#12.036
36	потому	потому	SCONJ	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#12.036#12.307
37	что	что	SCONJ	_	_	_	_	_	@dap1994m-words#@dap1994m#12.307#12.578
38	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#12.578#12.849
39	абсолютно	абсолютно	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#12.849#13.12
40	из	из	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#13.12#13.391
41	другого	другой	DET	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#13.391#13.662
42	мира	мир	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#13.662#13.933
43	который	который	SCONJ	_	Case=Nom	_	_	_	@dap1994m-words#@dap1994m#13.933#14.204
44	для	для	ADP	_	_	_	_	_	@dap1994m-words#@dap1994m#14.204#14.475
45	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@dap1994m-words#@dap1994m#14.475#14.746
46	выглядит	выглядеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#14.746#15.017
47	как	как	SCONJ	_	_	_	_	_	@dap1994m-words#@dap1994m#15.017#15.288
48	ээ	ээ	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#15.288#15.564
49	ну	ну	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#16.23#16.521
50	это	это	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#16.521#16.812
51	блять	блять	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#16.812#17.103
52	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#17.103#17.394
53	ээ	ээ	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#17.394#17.685
54	знаешь	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#17.685#17.976
55	как	как	SCONJ	_	_	_	_	_	@dap1994m-words#@dap1994m#17.976#18.267
56	Хогвартс	Хогвартс	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#18.267#18.558
57	ебаный	ебаный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#18.558#18.849
58	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#18.849#19.14
59	вот	вот	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#19.14#19.431
60	мир	мир	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#19.431#19.722
61	моды	мода	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#19.722#20.013
62	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#20.013#20.304
63	подиумов	подиум	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@dap1994m-words#@dap1994m#20.304#20.595
64	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#20.595#20.886
65	вот	вот	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#20.886#21.177
